,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
48,0.2538124720255534,0.03534531992744672,0.01645374298095703,0.001815712291398201,0.8,0.1,6,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.7}",0.8152568402974331,0.8146147980925609,0.8120460669619982,0.813972568450664,0.001387229982755334,65
49,0.2420485814412435,0.04579596314545836,0.017642418543497723,0.00117858771286354,0.8,0.1,6,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.8}",0.815699870748734,0.8141532294633634,0.8122145056519008,0.8140225352879994,0.0014258922797465662,63
50,0.2557225227355957,0.03447766829014697,0.017975727717081707,0.001533554959898714,0.8,0.1,6,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.9}",0.8162745189527114,0.8144788128334491,0.8129204336226694,0.8145579218029434,0.00137044172248502,49
51,0.3837094306945801,0.05909460452306705,0.020432790120442707,0.0015027766114211005,0.8,0.1,8,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.7}",0.8123887370011346,0.8111009626112186,0.8088963808796855,0.8107953601640129,0.0014420315441670553,80
52,0.4287115732828776,0.04182184584533437,0.021670103073120117,0.0021727443928823524,0.8,0.1,8,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.8}",0.8124956802183381,0.8117576720458883,0.8096099995655723,0.8112877839432663,0.0012240327689447847,77
53,0.3888360659281413,0.06610432314652108,0.020900726318359375,0.001488144383865441,0.8,0.1,8,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.9}",0.8127666311367775,0.8118125891909809,0.8100148794645773,0.8115313665974453,0.0011408619334229567,74
54,0.2304228146870931,0.0467254081736764,0.012772639592488607,0.0009639288084549507,0.9,0.01,4,0.7,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.7}",0.8167130009296498,0.8162502802851117,0.8133652447651584,0.8154428419933066,0.0014811786479079101,19
55,0.21148920059204102,0.016408865323038025,0.014346679051717123,0.00036083212944101726,0.9,0.01,4,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.8}",0.8167088309430861,0.8162323214252744,0.8133068785387428,0.8154160103023678,0.001504015276382966,20
56,0.21305743853251138,0.02741397793601377,0.014347076416015625,0.001525390529459736,0.9,0.01,4,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.9}",0.8166208121158185,0.8161922977198884,0.8132942317321341,0.815369113855947,0.0014775560942918743,24
57,0.2489322026570638,0.01362556613579973,0.01909470558166504,0.001792902399031557,0.9,0.01,6,0.7,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.7}",0.8166787240594118,0.8161700188025235,0.8132555276482444,0.8153680901700598,0.0015081745182020652,27
